,Target
380,0
381,2
382,0
383,2
384,0
385,2
386,0
387,2
388,2
389,0
390,1
391,2
392,0
393,2
394,2
395,2
396,2
397,2
398,2
399,0
400,2
401,2
402,2
403,2
404,2
405,2
406,2
407,2
408,2
409,2
410,2
411,2
412,0
413,2
414,2
415,2
416,2
417,2
418,2
419,2
420,2
421,2
422,2
423,2
424,2
425,2
426,0
427,2
428,2
429,2
430,2
431,2
432,2
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,2
443,2
444,0
445,0
446,2
447,1
448,1
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,2
460,2
461,2
462,2
463,1
464,0
465,2
466,2
467,0
468,0
469,1
470,2
471,2
472,2
473,2
474,0
475,2
476,2
477,2
478,2
479,0
480,0
481,2
482,2
483,2
484,0
485,0
486,2
487,1
488,0
489,2
490,2
491,2
492,2
493,2
494,0
495,2
496,2
497,0
498,2
499,0
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,0
509,2
510,2
511,2
512,2
513,2
514,0
515,2
516,2
517,0
518,2
519,2
520,2
521,2
522,1
523,2
524,2
525,0
526,2
527,2
528,0
529,1
530,0
531,0
532,2
533,2
534,0
535,2
536,2
537,1
538,2
539,2
540,2
541,0
542,0
543,2
544,2
545,0
546,2
547,2
548,0
549,0
550,2
551,2
552,2
553,2
554,0
555,2
556,2
557,2
558,2
559,1
560,0
561,0
562,0
563,0
564,0
565,0
566,1
567,0
568,0
569,0
570,2
571,2
572,2
573,2
574,0
575,1
576,0
577,2
578,1
579,0
580,0
581,2
582,0
583,0
584,0
585,2
586,2
587,1
588,0
589,0
590,2
591,2
592,0
593,2
594,0
595,2
596,2
597,2
598,2
599,0
600,0
601,2
602,0
603,1
604,0
605,2
606,1
607,2
608,0
609,1
610,0
611,0
612,0
613,2
614,0
615,1
616,1
617,2
618,1
619,0
620,0
621,0
622,0
623,2
624,0
625,1
626,0
627,0
628,2
629,1
630,2
631,0
632,0
633,0
634,0
635,0
636,0
637,2
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,2
734,0
735,0
736,0
737,0
738,0
739,0
740,2
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,2
752,1
753,2
754,2
755,1
756,0
757,2
758,0
759,2
760,2
761,2
762,0
763,0
764,0
765,0
766,2
767,0
768,0
769,0
770,2
771,2
772,2
773,2
774,2
775,2
776,2
777,2
778,2
779,2
780,2
781,2
782,2
783,0
784,2
785,2
786,2
787,2
788,2
789,2
790,2
791,2
792,2
793,2
794,2
795,2
796,2
797,2
798,2
799,2
800,0
801,0
802,0
803,0
804,2
805,0
806,0
807,0
808,2
809,0
810,2
811,0
812,2
813,0
814,2
815,0
816,0
817,1
818,0
819,0
820,1
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,2
829,0
830,0
831,0
832,2
833,1
834,2
835,0
836,0
837,2
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,2
924,0
925,0
926,0
927,0
928,0
929,2
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,2
961,2
962,0
963,2
964,2
965,2
966,2
967,0
968,2
969,2
970,2
971,2
972,2
973,2
974,2
975,2
976,2
977,2
978,2
979,0
980,0
981,2
982,0
983,0
984,0
985,0
986,0
987,0
988,2
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,2
1001,2
1002,0
1003,2
1004,2
1005,1
1006,2
1007,2
1008,1
1009,0
1010,0
1011,2
1012,2
1013,2
1014,2
1015,2
1016,2
1017,0
1018,0
1019,1
1020,0
1021,2
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,2
1042,2
1043,0
1044,2
1045,0
1046,0
1047,1
1048,0
1049,0
1050,0
1051,0
1052,0
1053,2
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,2
1061,2
1062,2
1063,0
1064,2
1065,2
1066,2
1067,2
1068,0
1069,2
1070,0
1071,2
1072,0
1073,2
1074,0
1075,2
1076,2
1077,0
1078,2
1079,2
1080,2
1081,2
1082,2
1083,2
1084,2
1085,2
1086,2
1087,2
1088,0
1089,2
1090,2
1091,2
1092,2
1093,2
1094,2
1095,2
1096,2
1097,1
1098,2
1099,2
1100,2
1101,2
1102,2
1103,2
1104,2
1105,2
1106,2
1107,2
1108,2
1109,2
1110,2
1111,2
1112,2
1113,2
1114,2
1115,2
1116,2
1117,2
1118,2
1119,2
1120,2
1121,0
1122,2
1123,2
1124,0
1125,0
1126,0
1127,2
1128,2
1129,2
1130,2
1131,2
1132,2
1133,2
1134,2
1135,2
1136,2
1137,2
1138,2
1139,2
1140,2
1141,2
1142,0
1143,2
1144,0
1145,0
1146,2
1147,2
1148,2
1149,2
1150,2
1151,2
1152,2
1153,2
1154,2
1155,2
1156,2
1157,2
1158,2
1159,2
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,1
1167,0
1168,2
1169,0
1170,1
1171,2
1172,2
1173,2
1174,2
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,2
1182,0
1183,0
1184,2
1185,0
1186,0
1187,0
1188,2
1189,0
1190,0
1191,2
1192,0
1193,0
1194,2
1195,0
1196,0
1197,0
1198,0
1199,2
1200,0
1201,0
1202,0
1203,0
1204,2
1205,0
1206,0
1207,0
1208,1
1209,0
1210,0
1211,0
1212,0
1213,0
